headline,label,topic
TSX ends in positive territory Feb 1822 Teck Torex Osisko Gold Royalties The SPTSX Composite Index rose 110 to finish the trading week at 16013 The SPTSX Global Mining Index increased 340 to 7549 while the SPTSX,pos,Economic
TSX Venture moves higher Feb 1822 New Pacific Metals Amex Exploration Bluestone Resources Parrallel Mining The SPTSX Venture Composite Index rose 119 to finish the trading week at 62327 New Pacific Metals released the second batch of assay results this,pos,Economic
Lithium stocks lift Positive backdrop drives some investor interest,pos,Economic
Newmont ends 2018 strongly US miner reports headline earnings well ahead of consensus,pos,Business
Market heat for Hot Chili stock New copper addition attracting attention,pos,Economic
Harte Gold completes resource update for Sugar Harte Golds TSX HRT USOTC HRTFF Sugar Zone gold mine in northern Ontario reached commercial production on Jan 1 and permitting is underway to increase,pos,Exploration
Kirkland Lake stuns market once again Fosterville leads charge to 1Moz 2 years earlier than expected pushing market cap through 10B,pos,Operation
Global Wrap Barrick Anglo and more Barrick does Tanzanian deal results from Anglo and Albemarle and Endeavour advances project,pos,Business
Booming Bellevue banks more big bucks Gold explorer boosts funding for high grade gold exploration,pos,Exploration
Mining Briefs Fe Nickel Mines and more Fe moves on Pilbara lithium Nickel Mines moves ahead and more,pos,Operation
Lycopodium on track for yearly profit Contractor meeting forecast,pos,Business
Renascor rolling on with Siviour spherical studies PFS shows rewards for 90M investment in upgrading graphite concentrate,pos,Exploration
Africa could soon supply 15 of global lithium Benchmarks Andy Leyland on African battery projects and Robert Friedlands storytelling,pos,Economic
Golden Star boosts Father Brown inferred resource 93 Golden Star Resources TSX GSC NYSE GSS has boosted the inferred resource at its Father Brown gold project in Ghana 93 to 23 million tonnes,pos,Exploration
Capital Watch Axiom Technology Metals Australia and more Capital raisings in the junior sector have started to pick up,pos,Economic
Azumah set for takeoff in Ghana with 1Moz Ibaera funding and exploration management model working well for Azumah,pos,Business
Potash critical mineral This concept is now beginning to be recognised in Australia The Outcrop by Robin Bromby,pos,Economic
Red Metal back in vogue Copper explorers generate excitement on supplydemand tensions,pos,Economic
Commodities continue strong week Copper reached a new sevenmonth high overnight in what was a good session for base metals,pos,Economic
Ohio Creek the big hope for Troy Drilling starts next week with expectations high,pos,Exploration
Primero upgrades forecasts Company says new contracts boost revenue with good prospects on horizon,pos,Business
Small iron ore plays boosted but for how long Juniors see silver lining in dark Brazil days,pos,Economic
Comet looking to fly again with Molyneux New graphite venture and new board with profile,pos,Business
Barras cobalt plans take further shape Mt Thirsty now in prefeasibility with good met and resource results,pos,Business
Teranga Gold completes initial resource on Golden Hill After 18 months of drilling at its Golden Hill exploration project in southwestern Burkina Faso Teranga Gold TSX TGZ USOTC TGCDF has completed a maiden,pos,Business
Royalty arrangement could prove lucrative for Emmerson Risk free deal with mining partner appropriate for Tennant Creek,pos,Business
Black Iron Glencore discuss offtake for Shymanivske in Ukraine Black Iron TSX BKI USOTC BKIRF and Glencore LON GLEN are in talks to finance construction of the juniors Shymanivske iron ore project in Ukraine,pos,Business
Gold on the march Gold has reached its highest level since May last year as the US dollar declined,pos,Economic
Newcrest in Ecuador deal Newcrest jumps into bed with SolGold partner,pos,Business
AngloGold back in black Profit up after sale and closure of South African assets,pos,Business
FMG knocks it out of the park Better than expected results and a big payday for shareholders,pos,Business
Kalium Lakes wins NAIF loan 74M taxpayer windfall aims to accelerate Beyondie sulphate of potash project,pos,Business
OceanaGold looking to tenth good year New Zealand operations underpin profitable year for gold miner,pos,Operation
Production up profit down at Ramelius Miner confident of maintaining 200000ozpa run rate,pos,Operation
Another strong day for iron ore players Iron ore juniors performed well as the strength in the spot price continues to provide hope,pos,Economic
BHP backing stronger tailings dam management BHP CEO calls for the establishment of a global body to oversee the management of tailings dams,pos,ESR
NRW declares first dividend since 2014 Contractors revenue and earnings soar and debt slashed after iron ore surge,pos,Business
Jervois in Tanzanian talks regarding Kabanga At stake is a world class nickelcobalt deposit,pos,Exploration
Capital raising bell rung again by busy Bellevue Highgrade gold explorer spending big bucks with four rigs in action,pos,Exploration
Patersons optimistic about exciting 2019 for resources sector Broker tells conference the fundamental are generally all good,pos,Economic
Solid profit for Saracen Result softer than RBC expectations,pos,Business
Sandfire has strong outlook Sandfire Resources has posted a solid halfyear profit despite lower copper prices,pos,Business
Iron ore still in favour Brazilfuelled pricing surge lifts midtier producers,pos,Economic
Copper gold hit 2019 high Copper has risen to its highest point since September last year despite ongoing trade tensions,pos,Economic
OceanaGold reports 124M profit for 2018 OceanaGoldÂ TSX OGC ASX OGC reported annual revenue in 2018 of US773 million and net profit before unrealized gains or losses on undesignated hedges of US124,pos,Business
Turbulent day as markets soar All Ords closes up miners ease as halfyear result season opens,pos,Economic
Venturex has a spring in its step Rising copper price coming at the right time for wannabe developer with interested parties circling,pos,Business
Strong earnings growth for Emeco Emeco invests in equipment amid strong outlook,pos,Business
AVZ declares remarkable lithium find Explorer says Carriere de lEste could be its biggest DRC discovery yet,pos,Exploration
First Mining hits higher gold recoveries at Springpole First Mining Gold TSX FF USOTC FFMGF says positive interim metallurgical test results for its Springpole gold project located 110 km northeast of Red Lake,pos,Exploration
Altech ticks the boxes towards production MD Iggy Tan likens HPA thematic to lithium 10 years ago,pos,Operation
Alkane maps its own path to worldclass critical metals producer Experienced team has worldclass project in the starters blocks,pos,Exploration
Pensana ready to promote after unveiling huge magnet metal deposit Juniors Longonjo NdPr deposit in Angola said to be one of the worlds largest,pos,Exploration
Quality emerging at Galans bluechip lithium address Initial assays point to worldclass potential in Argentina,pos,Exploration
Solid start to ASX mining week Gains enjoyed across the board,pos,Economic
Dateline ready for breakout year Junior has been flying under the radar,pos,Economic
Efficient iron ore market already balancing BMO BMO forecasts supply reaction from marginal tonnes price normalisation,pos,Economic
Strong Friday for commodities equities Metals and stocks had a positive session to close last week,pos,Economic
Gold Fields declares dividend despite loss Balance sheet remains in a comfortable position despite high capex,pos,Business
Independent base metal producers targeted Nickel Mines New Century lead,pos,Business
Saracen on track to extend mine lives Gold producer Saracen Mineral Holdings has reported strong drilling results from its two WA mines,pos,Exploration
Black Cat delivers Bulong maiden resource Yearold explorer achieves modest milestone in rediscovery of overlooked WA goldfield,pos,Operation
Dryblower on a whiff of boomtimes wafting over the market Last weeks iron ore driven surge on the ASX lifted the mining sector to a sevenyear high,pos,Economic
Matsa gives green light to second Red gold venture Longer term junior is hoping to make a motza,pos,Business
Champion in bloom Canadian iron ore miner caps off first calendar year at Bloom Lake with strong performance,pos,Business
OD gets major project status The South Australian government has awarded BHPs Olympic Dam growth plans with major project status,pos,Operation
African Gold gets market love Debutante wins investor hearts on Valentines Day,pos,Economic
Gruyere closing in on first gold First pour in June quarter commercial production by late year,pos,Operation
Nickel fade fails to dampen enthusiasm Juniors gain traction as EV metal pumps the brakes,pos,Economic
Stavely closer than ever to major discovery Company has had sniffs of porphyry copper but has not yet hit the mother lode,pos,Exploration
Bolivias door creaks open to foreign mining investment SANTIAGO CHILE Â A firstofits kind deal between Bolivias state mining company Comibol and Vancouverbased explorer New Pacific Metals TSXV NUAG USOTC NUPMF promises to usher,pos,Politics
Central banks and gold It means good news for miners The Outcrop by Robin Bromby,pos,Economic
Newcrest more than doubles profit Despite lower gold and copper prices Newcrest Mining has posted a big jump in halfyear profit,pos,Business
Savannah restarts nickel production First concentrate bound for China,pos,Operation
Breaker creeping towards development Strong run for Goldfields explorer,pos,Business
Goyder puts slab of cash into Liontown Chairman investing in new raising underway,pos,Business
Silvercrest finds highgrade vein at Las Chispas Silvercrest Metals TSXV SIL NYSE SILV has discovered the Babi Sur silvergold vein on its Las Chispas property in Sonora Mexico through recent drilling The,pos,Exploration
Duo at AIC points to big gold possibilities Junior could be set to seriously evolve,pos,Exploration
Positive sentiment on trade encourages buyers New Century leads,pos,Economic
United States Snapshot Ten companies with projects on the go in the USA Mining and mineral exploration in the US has been on an uptick in recent years thanks to higher gold and silver prices and an easing,pos,Economic
Gold stocks in demand Northern Star streets field,pos,Economic
Auburn hits copper near Gympie Matherbacked company flags potential for new openpit mine in historic area,pos,Exploration
Myanmar gets the lead out Explorer claims Bawdwin project worlds largest lead resource,pos,Exploration
Evolution flags stronger June half Evolution Mining has posted a solid halfyear profit which it plans to build on in the current half,pos,Business
Continental Gold expands resource at Buritica Continental Gold TSX CNL USOTC CGOOF has tabled an increased resource estimate for its Buritica gold development project in northwestern Colombia that also reinterprets the,pos,Exploration
Galan hails Argentina lithium discovery New find in unique setting spurs investor interest,pos,Exploration
Northern Star soars on halfyear result A jump in revenue has seen Northern Star boost its interim dividend by 33 to A6c per share,pos,Business
Mining Briefs Winmar Horizon and more Winmar secures ore agreement Altair impresses Horizon Resolute resources rock steady and more,pos,Business
First Cobalt extends mineralization at Iron Creek in Idaho First Cobalt TXSV FCC USOTC FTSSF has extended coppercobalt mineralization along strike at both its Waite zone and No Name zone part of its Iron,pos,Exploration
Petratherm defines potential Victorian bonanza 250gpt average grade setsÂ up new gold play being set up in historic mining area,pos,Exploration
At the intersection of billion dollar junction Early days but Lucapa working to prove up Mothae diamond potential,pos,Exploration
BMO Silvercrest Metals an attractive takeover candidate Silvercrest Metals TSXV SIL expects to update the resource estimate and complete a preliminary economic assessment in the first quarter of the year on its,pos,Business
Editorial Iron ore prices surge higher on Vale disaster All of those supply and demand and price forecasts carefully assembled in late 2018 for iron ore have become obsolete in the wake of Vales,pos,Economic
Caravel celebrates with copper carnival at Calingiri Resource increase makes Wheatbelt discovery WAs largest red metal deposit,pos,Exploration
Gold players steady Interest in yellow metalfocused companies,pos,Economic
Mining Briefs NTM Jervois and more NTMs shallow stunner Jervois confirms cobalt Mt Ridley sees upside and more,pos,Exploration
Peninsula gains Lance trial funding Uranium producer clears lenders cash hurdle with placement launches entitlement offer,pos,Business
Pogo delivering above expectations Exceptional results reported from Northern Stars newest operation,pos,Exploration
More highgrade gold out of Havieron Latest Newcrest drilling extends mineralisation,pos,Exploration
Mining Briefs Navarre BlackEarth and more Langi Logan impresses Navarre BlackEarth pleased with Mainry Exore hits high grades and more,pos,Exploration
Exploration interest kicks off mining week Winners and losers as year races to its end,pos,Exploration
Gold to be poured and cash flowing into Egan Street increased New mine design boosts key numbers for upcoming development,pos,Exploration
TSX rises Feb 48 RNC Wallbridge and First Quantum Canadas benchmark index rose 1 to end the trading week at 1566333 The SPTSX Global Mining Index rose 065 to 7190 and the SPTSX Global,pos,Economic
US markets post slight gains Vale Cleveland Cliffs Buenaventura FrancoNevada Peabody Energy The Dow Jones Industrial Average posted a marginal 017 gain to 2510633 while the SP 500 Index ended 005 higher at 270788 Despite a rising,pos,Economic
Iron ore breaks through 90t The iron ore price continued to surge on Friday in the wake of Vales deadly tailings collapse,pos,Economic
Titanium Sands trebles resources Mannar Island mineral sand project gets big boost,pos,Exploration
American Lithium drilling  Nevada claystones American Lithium TSXV LI USOTC LIACF is about to drill its 63 sq km Tonopah lithium claystone TLC project near Tonopah Nevada Over the next,pos,Exploration
SEMAFO tables maiden resource of Bantou gold zone SEMAFO TSX SMF USOTC SEMFF has tabled a maiden resource for the Bantou gold zone located about 170 km south of its Mana gold mine,pos,Exploration
McEwen closes in on production at Gold Bar McEwen Mining TSX MUX NYSE MUX will soon be pouring first gold at its newÂ  Gold Bar mine in central Nevada just 14 months after,pos,Exploration
Pure Gold aims to pour first gold at Madsen in Q2 2020 With its recently completed feasibility study behind it Pure Gold Mining TSXV PGM expects to make a production decision on its Madsen gold project in,pos,Operation
Boring into bornite at Thursdays Gossan excites Stavely investors Assays from promising copper drill intercept due in the next few weeks,pos,Exploration
News Wrap Rio gets debt upgrade as iron ore surges Bolivia picks Chinese partner for 23B lithium project,pos,Business
Gold stocks find a bit of favour Better bullion price on the back of uncertainty,pos,Economic
Nickel looks to have good prospects in 2019 Macquarie report suggests producers are positioned well,pos,Economic
Global Wrap Newmont Barrick and more New COO for Newmont Barrick in alliance Glencore production TrilogySouth32 boost exploration,pos,Exploration
Back to Broken Hill Modern exploration is rekindling the Silver City story  a story that is partly forgotten The Outcr,pos,Exploration
Mixed session for metals Copper gained,pos,Economic
Slight gain by ASX mining set Alacer Ausdrill and South32 among the better performers,pos,Economic
Good January lithium output by Alliance Guidance for the halfyear unchanged,pos,Operation
Mining Briefs Echo Archer and more Echos outstanding intercepts Archer confirms copper hits Southern Gold advances SK gold and more,pos,Exploration
Discoveries may bring investors back Mind the equity gap juniors told,pos,Exploration
Great brine signs early for Galan in Argentina Maiden drill hole very encouraging for company,pos,Exploration
Barminco boosted at huge zinc project Services contractor picks up additional work at worlds second largest zinc mine,pos,Operation
Gainey Capital confirms high grades at Las Margaritas Gainey Capitals TSXV GNC USOTC GNYPF first pass sampling at its newlyoptioned Las Margaritas gold project in Durango Mexico sampled up to 40 grams gold,pos,Exploration
Arafura DFS shows higher capital and higher production Nolans rare earth project is globally significant mining hopeful says,pos,Business
E2 finds gold and silver near the big Cerro Vanguardia Further work underway ahead of drilling,pos,Exploration
Commentary Silver poised for stronger year after humdrum 2018 Silver Institute The following is a release by the Silver Institute a Washington DCbased nonprofit association that draws its international membership from across the breadth of the,pos,Economic
Kumova in new silica sands play Ground being vended into listedshell Perpetual Resources,pos,Exploration
Big gold boost for Calidus Resources now total 125Moz,pos,Business
Friedland confident Congo copper mine will be worlds secondlargest The founder of Ivanhoe Mines said the KamoaKakula project is on track to become one of the absolute greatest copper mining complexes in the world,pos,Exploration
Pursuit defines Finnish monster Minnow claims 116Mt resource has highest vanadium grades outside Brazilian mine,pos,Exploration
AngloGold upping the ante on exploration Gold major planning to grow through exploration rather than valuedilutive MA,pos,Exploration
Solid backing for some independent miners Nickel and copper producers enjoy much of the market attention,pos,Economic
Fortescue rockets on earnings upgrades The impact of Vales torrent of terror on iron ore markets is not the only driver for FMG,pos,Business
Pure Gold plans new mine in Red Lake Over the last four years Pure Gold Mining TSXV PGM has doubled the indicated resource for its Madsen gold project in Red Lake one of,pos,Exploration
Atlantic confirms gold extensions at Cochrane Hill Atlantic Gold TSXV AGB USOTC SPVEF says recently completed diamond drilling at its Cochrane Hill gold deposit in Nova Scotia is confirming mineralization extensions initially,pos,Exploration
Buyers active with ASX miners Contractor Ausdrill the standout stock,pos,Business
Fenix hits more highgrade iron ore Recapitalised iron ore chaser hits premium grades outside resource,pos,Exploration
Navarre flags Fosterville potential AC drilling of surface targets at St Arnaud supports geological similarities to major gold mine,pos,Exploration
Scintillating session for nickel Other metals relative quiet with Chinese New Year underway,pos,Economic
Cutifani backing SA mining policy Anglo American CEO says Gwede Mantashe is opening doors for industry,pos,Politics
Mining Briefs Intrepid AIC and more Intrepid allows AIC bid to lapse Venus hits gossan Corazon maps massive NSW copper trend and more,pos,Exploration
Nickels gain boosts stocks Stockpiles of the commodity declining,pos,Economic
Graphite moving towards its time in the sun Benchmarks Andy Leyland talks graphite prices supply and potential offtakes,pos,Economic
Stawell back in business THE Stawell gold mine is back in production after the first gold was poured late last week,pos,Business
Lucky number seven for Pebble Can the worlds largest undeveloped copper project finally get off the ground,pos,Operation
Millennium delivers big reserves boost Miner sees fouryear life in Pilbara growing as metallurgical options open exploration potential,pos,Exploration
Sentiment for metals appears broadly positive Backdrops generally look supportive,pos,Economic
Juniors move on soft start to ASX mining week Some good moves at small end of town,pos,Economic
Capital Watch Piedmont Sovereign Amani and more Fund raisings in the past week or so by companies in the resources sector,pos,Economic
Auris copper and gold hits attract attention Exploration going well at prospects west of DeGrussa,pos,Exploration
Hot Chili cooks up big reset with highly touted copper deal Drill results compared to SolGolds at Cascabel,pos,Exploration
Gold takeover wave about to break Gold mergers will save the sector says Macquarie,pos,Economic
Gold sector outpaces weaker ASX Precious metal miners and lithium players deliver Friday bright spot,pos,Economic
Commentary Lithium opportunities abound in Australia The following is an edited excerpt from the publication The lithiumion battery value chain  new economy opportunities for Australia by the Australian governments Australian,pos,Politics
Metals solid on dovish Fed stronger China Nickel puts on its biggest monthly surge in 20 years for January,pos,Economic
Glencore expects higher copper production in 2019 Commodities giant Glencore LON GLEN has reported production figures for 2018 and confirmed 2019 guidance that implies a 14yearonyear increase in copperequivalent production Copper production,pos,Business
Ohio Creek a likely new mining operation Troy Highgrade assays continue from prospect near Guyana operations,pos,Exploration
Lithium  Uranium Snapshot Eight energized juniors on the move While lithium and uranium markets were depressed in 2018 a rebound could occur as demand pressures for both metals grow in the years ahead Heres,pos,Economic
Casa poised to progress Keaper and Pitman polymetallic projects Casa Minerals TSXV CASA has optioned its Keaper polymetallic project  15 km northeast of Terrace BC less than 5 km from the companys flagship,pos,Exploration
AME Roundup Regional Mining Alliance cements new partnership in BCs Golden Triangle VANCOUVER  A new partnership between First Nations exploration companies and the BC government named the British Columbia Regional Mining Alliance BCRMA is working well,pos,Business
Lake buoyant on brine flows Lithium Triangle hopeful sees encouraging signs from samples,pos,Exploration
Nowthanna Hill dressed up for sale AVL says uraniumvanadium project could be viable for consolidation player,pos,Exploration
Challenger completes capital raising Newlyminted explorer plans to ramp up coppergold search in Ecuador and Argentina,pos,Business
Mining Briefs Meteoric Peako and more Meteoric revved for Brazil search Peako expands VHMS hunt Troy hits more high grades and more,pos,Exploration
RNC updates large Dumont nickelcobalt project Once in production Dumont would be one of Canadas largest base metal mines and one of the topfive sulphide nickel producers in the world RNC,pos,Operation
Agnicos Meliadine reaches commercial production Agnico Eagle Mines TSX AEM NYSE AEM Meliadine mine  its largest gold deposit in terms of resources  achieved commercial production ahead of schedule,pos,Operation
Champion Iron positions for organic growth at Bloom Lake After a milestonerich year in which Champion Iron TSX CIA ASX CIA restarted the Bloom Lake iron ore mine in Quebecs portion of the Labrador,pos,Business
Good Malaysian news sees Lynas stunning market performance continue Reports suggest regulatory threats to rare earths plant have greatly dimished,pos,Business
Gold the green metal Who knew that the yellow one was tackling climate change The Outcrop by Robin Bromby,pos,Technology
More bonanza grades for Tietto Drilling confirms strike and depth continuity at AG deposit,pos,Exploration
Positive met results from Mt Todd Potential for Australias largest undeveloped gold deposit to recover more gold,pos,Operation
Chinese backing for Coppermoly Company raising 6M at a premium,pos,Business
Sunstone jumps on porphyry potential Second Ecuador hole looks like a winner,pos,Exploration
Champion boosts Bloom Lake stake Major refinancing push to increase mine ownership and cut debt servicing costs,pos,Business
Lake Mackay partners hit highgrade cobalt IGO and Prodigys Grimlock prospect opens JV up for shallow battery metal potential,pos,Exploration
China talk again lifts rare earth hopefuls Trade war talk lifts Aussies  except Lynas,pos,Economic
Mothae revenue boost for Lucapa Diamonds from Lucapa Diamond Companys 70owned Mothae mine have sold for A5 million,pos,Business
Cape Lambert gets more backing Flexible funding terms as company scrambles to develop DRC tailings project,pos,Business
Osisko finds new gold zone at Windfall Osisko Mining TSX OSK has found a new and shallow gold zone 350 metres north of the main deposit at its Windfall property in Quebec,pos,Exploration
Study doubles First Cobalts output potential New study points to 5000tpa cobalt,pos,Operation
Catalysts offset risks for base metal producers Macquarie retains positive outlook for Aussie copper and nickel miners despite trade war risk,pos,Economic
Caravel revised scoping study remains promising Central Wheatbelt copper mine could be lowtomidcost producer,pos,Exploration
Best Gimlet hit yet First Au has reported an outstanding intersection from diamond drilling at the Gimlet project,pos,Exploration
Rio shares hit decade high Miner riding high on iron ore price,pos,Business
More geoscientists finding work Unemployment rate for geoscientists dropped over the March quarter according to the AIG,pos,Business
Iron ore surges to fresh high The iron ore spot price has hit a new high on an otherwise uneventful day for markets,pos,Economic
Iron ore spike supports miners Miners had another good day after iron ore rose to a fresh fiveyear high,pos,Economic
Drill results boost Nighthawk Gold shares Shares of Nighthawk Gold TSX NHK USOTC MIMZF soared 21 to 44 following news of drill results at the juniors Colomac project in the Northwest,pos,Exploration
Juniors report separate WA nickelcopper discoveries Early stage and assays pending but positive signs,pos,Exploration
Upbeat outlook for the forgotten metal of the battery boom Zinc prices under pressure but two Aussie producers see plenty of factors in their favour longterm,pos,Economic
Nickel the big mover Nickel jumped on Friday as most base metals rose,pos,Economic
Base metals get a break Producers of base metals aside from zinc miners had a better session today,pos,Economic
Miners among the top performers Resource stocks started the week well after a stable session for commodities on Friday,pos,Economic
More banks join the iron ore upgrade party Exceptional year in iron ore changes outlook,pos,Economic
Central banks ETFs drive Q1 gold demand The following is an edited summary from the World Gold Council based on its Gold Demand Trends Full Year and Q4 2018 report To access,pos,Economic
Minor interest in gold stocks New mine developers and miners with growth prospects among the more sought after,pos,Economic
Weak US data proves positive for gold There were some big moves in stocks oil and gold overnight amid rising trade tensions,pos,Economic
Capital Watch Strandline Axiom and more A bumper week of raisings shows signs of green shoots,pos,Economic
Could Anglo be incubating a mining unicorn Mining giant creating rare wins with techled treasure hunt,pos,Business
Mincor goes Long on nickel Company to acquire former IGO nickel mine,pos,Business
Gold stocks attract Developers among those of interest,pos,Economic
Iron ore reaches new heights It was the only real positive overnight,pos,Economic
VHM buoyed by rare earths interest Lynas isnt the only company seeing increased interest,pos,Business
Talga targets terrific battery graphite anode numbers Juniors Vittangi project in Sweden will fly if venture goes according to plan,pos,Exploration
FMG approves new mine Fortescue Metals Group has appointed the US287 million Queens Valley development at its Solomon Hub,pos,Business
Good charge by lithium set Strong gains by producers and potential future developers,pos,Economic
IronRidge reports exceptional test results Spodumene confirmed as the dominant lithium mineral,pos,Exploration
Barrambie technically and economically viable Neometals targeting FID by late 2020 after promising vanadium DFS but titanium pilot needed,pos,Business
Decent showing by miners given trade tensions Lithium set and Lynas have strong days,pos,Economic
Mates rates sees Nickel Mines dump Sprott Emerging producer gets backing from Chinese partner,pos,Economic
BHP boosts longterm EV outlook Company says the space is crowded with forecasters,pos,Economic
Roberts boosts MinRes stake Another big share buy for director,pos,Business
Safe haven boosts gold equities Alkane Westgold lead way,pos,Economic
Bellevue flags potential third discovery Further potential of historical mine outlined,pos,Exploration
Cascabel study returns unusually low costs Hotly anticipated study confirms projects worldclass status,pos,Exploration
Trade tensions trigger rare earth and gold stocks buying Rare day for rare earth stocks,pos,Economic
Iron ore hits 100t The iron ore spot price continued to rally on supply fears as other metals dropped,pos,Economic
Lynas fires shots across bows of Malaysia and Wesfarmers Rare earths producer looks to possible new venture in USA,pos,Business
Site visit New Pacific Metals blazes a trail at Silver Sand in Bolivia BETANZOS BOLIVIA  Vancouverbased junior New Pacific Metals TSXV NUAG USOTC NUPMF could be on the verge of a major silver discovery in southcentral Bolivia,pos,Exploration
With Liontown roaring the ducks are quacking loudly More spectacular drilling results fuel companys lithium confidence,pos,Exploration
TSX Venture rises May 1317 Atlantic Gold SilverCrest Maverix Midland Exploration The SPTSX Venture Composite Index rose 967 points or 161 to finish the May 13 to 17 trading week at 60915 News of the acquisition,pos,Economic
Iron ore hits new high The iron ore spot price hit a fiveyear high in Singapore overnight,pos,Economic
Iron ore producers rise Iron ore spot price continues to nudge US100 per tonne,pos,Economic
BCI improves Mardie outlook Bigger investment supports larger project longer life and lower costs,pos,Business
AusQuest powers on in Peru Earlystage explorer confident of copper success in South32 alliance,pos,Exploration
Market finishes the week with a win Positive leads from the US ensured the ASX finished the week in positive territory,pos,Economic
ASX lures Latin American companies ASX investable funds expected to grow to over 95 trillion by 2035,pos,Economic
Rio awards Koodaideri contract NRW Holdings has been awarded a A137 million contract by Rio Tinto,pos,Business
Capital Watch Gulf Carpentaria and more A busier week for raisings despite volatile equity markets,pos,Economic
Torian positive on Mt Stirling scoping study Small shallow open pit operation near King of the Hills appears viable,pos,Operation
Alkane getting bullish on Tomingley gold extensions Exploration results continue to show ongoing potential,pos,Exploration
Mining Briefs Consolidated Zinc Stellar and more ConsZinc production steady Stellar claims highgrade tin title Exore excited by Liberty and more,pos,Business
Prodigy attracts Newmont 14M JV in the Tanami region,pos,Business
Metals outpace market Plenty of mining interest in penultimate trading day,pos,Economic
Red metal attracts support Copper sector outpaces ASX with interest in new projects,pos,Economic
Galaxy backs big Alliance raising WA lithium miners force closer ties as smaller company dreams bigger,pos,Business
Markets metals up on trade optimism US stocks rose overnight after it appeared president Donald Trumps trade stance was softening,pos,Economic
